SIGNET_SOURCE	SIGNET_DEST
EPS15	AGFG1 AGFG2 CAPZA2 CCT3 CLTC CORO7 GJA1 MTNR1A RNF11 SGIP1 SLC6A4 SPART TRIM56 TUBB USP8
ERI3	KCNJ5
ERICH5	FADS3
ERO1A	FBXO6 TCTN1 TCTN3
ESD	CAV1 PITPNB TKT
EXOG	MEPCE SLC6A4 TRDN
EXOSC4	EED EIF2B4 EIF2S2 LIG3 MTDH NCL OBSL1 PSMA5 SLIT2
F5	PITX3
FAAP20	SERTAD1 SERTAD3
FADS2	CA9 CD81 INS TCTN3
FADS3	DHX16 ERICH5
FAM13B	PAM16
FAM162A	SRRT
FAM189B	ANKRD13A SCRIB SNTA1 ST7 TMEM179B TPM2
FAM222A	MEIS1 OBSL1 PBX3
FAM53C	CBY1 GIGYF1 MAPKAP1 PHLDB2 SH3PXD2A SIPA1L1
FAM83H	CHMP4B CLTC DNAJB2 KIF20A RUSC1 SOCS6
FARS2	AGTRAP CMTM5 FKBP7 HOMEZ NXF1 TOMM40 TPM2 TRIM54 TRIP6
FASTK	WIPF1
FAT1	CLK1 LIPH PRKCZ
FBXL15	COPS6
FBXO2	AMIGO3 ASIC4 MAPT VASN
FBXO24	PTGES3
FBXO44	C11orf45 COPS6 SERTAD3
FBXO6	ABCF2 ACTL6A ADAM15 ARF1 ATF6 ATP5F1B C6orf89 CCT3 CHPF CLTC COPS6 CPD CYC1 DDX17 EEF1G ERO1A GANAB GBA GNB4 GNS HNRNPC HNRNPR MCM7 MET NPC1 NRM PLD3 PLOD1 PPP1CC PSMC6 RIOK1 RPL32 SCAMP3 SMC3 SSR1 STK38 TCTN3 TFR2 TGM2 TKT TRAP1 TRIP13 TTI1 TUBB TUT1 TXNDC11 VARS2 XPOT
FDPS	ATPAF2 CREB3 DDR1 FGFR1 NXF1 PMVK SLC30A2
FEN1	ACTL6A EEF1G LTN1 MAPT MST1 NXF1 SNW1 TRAIP
FER	CALM1 NXF1 TMF1
FERMT2	CAV3 CMTM5 EED GBF1 KCNQ1 PARVA
FEZ2	PRKCZ SAP30L SMC3
FGD2	CSTA MRPS35
FGF9	FGFR1
FGFR1	ATP5F1B CACNA1C CDH11 CDH2 CLPTM1 CREBBP FDPS FGF9 FLRT2 ID2 LITAF MST1R MTCH1 OBSCN PLCG1 PLEC RPL22 SCN3B SHC1 SPATS2L TH TUBA4A ZDHHC11
FKBP7	FARS2 IER3 PBX3 SLC38A7 TKT
FLAD1	CDC25C CDKN1A CRABP2 HINT2 KLHL14 METTL17 NIF3L1 NXF1
FLI1	ACTL6A PRKCD
FLOT1	ABCC1 CA9 CAPZA2 CAV1 CAV3 CHMP4B CYC1 EED KIF20A L1TD1 MRPL55 NME7 NPC1 OBSL1 SLC6A4 SORBS1
FLRT2	FGFR1
FNDC4	CAV1 NDUFB3 POLR2G PPP1R10
FNDC8	MBLAC1
FTH1	LBP MAPT
GABPB1	DHX16 E2F1 LMO4 PDLIM5 PRKCA SNW1 TRIM63
GANAB	CCNA1 CCNL1 CCT3 FBXO6 INS NHLRC2 OBSL1 PDE3A PRKAG2 PTPRN SERPINE1 TCTN1 TCTN3 TNS3 TOMM40
GAREM1	EFNA1 SHC1
GBA	CCT3 FBXO6 NHLRC2 SCAMP3
GBA2	MTNR1A
